ability	abilities
activity	activities
agency	agencies
analysis	analyses
army	armies
authority	authorities
basis	bases
business	businesses
category	categories
century	centuries
child	children
city	cities
community	communities
country	countries
county	counties
duty	duties
economy	economies
energy	energies
entry	entries
facility	facilities
family	families
history	histories
industry	industries
library	libraries
life	lives
loss	losses
memory	memories
opportunity	opportunities
policy	policies
property	properties
responsibility	responsibilities
security	securities
series	series
society	societies
species	species
story	stories
strategy	strategies
success	successes
technology	technologies
theory	theories
university	universities
variety	varieties
wife	wives
woman	women
