able	unable
acceptable	unacceptable
affected	unaffected
available	unavailable
aware	unaware
certain	uncertain
changed	unchanged
comfortable	uncomfortable
conscious	unconscious
employed	unemployed
expected	unexpected
finished	unfinished
fortunate	unfortunate
happy	unhappy
identified	unidentified
known	unknown
lawful	unlawful
paid	unpaid
pleasant	unpleasant
popular	unpopular
predictable	unpredictable
published	unpublished
reasonable	unreasonable
related	unrelated
reliable	unreliable
specified	unspecified
successful	unsuccessful
used	unused
usual	unusual
wanted	unwanted
