according	accordingly
actual	actually
additional	additionally
apparent	apparently
beautiful	beautifully
critical	critically
cultural	culturally
decided	decidedly
different	differently
digital	digitally
effective	effectively
environmental	environmentally
extensive	extensively
famous	famously
financial	financially
global	globally
historical	historically
huge	hugely
immediate	immediately
important	importantly
increasing	increasingly
internal	internally
international	internationally
legal	legally
mental	mentally
nice	nicely
obvious	obviously
physical	physically
political	politically
practical	practically
previous	previously
rare	rarely
serious	seriously
sexual	sexually
significant	significantly
similar	similarly
strong	strongly
subsequent	subsequently
successful	successfully
traditional	traditionally
typical	typically
unique	uniquely
virtual	virtually
visual	visually
