accomplish	accomplishment
achieve	achievement
adjust	adjustment
agree	agreement
align	alignment
amend	amendment
announce	announcement
appoint	appointment
arrange	arrangement
assess	assessment
assign	assignment
commit	commitment
develop	development
disagree	disagreement
encourage	encouragement
enforce	enforcement
engage	engagement
enhance	enhancement
enjoy	enjoyment
entertain	entertainment
establish	establishment
fulfill	fulfillment
improve	improvement
invest	investment
involve	involvement
manage	management
punish	punishment
reinforce	reinforcement
replace	replacement
require	requirement
