ant	black/brown/red
apple	red/orange/yellow/golden
blood	red
cabbage	green
carrot	orange/red/yellow
cherry	red/yellow/black
chocolate	white/brown/black
cloud	white/gray/grey
coal	black
coffee	black/brown
cream	white
crow	black
fridge	white/silver/black
frog	green/brown/grey/gray
grapes	black/red/green/purple
grass	green
leaves	green/red/yellow
milk	white
paper	white/color
pepper	black/red/green/yellow/orange
potato	brown
raven	black
rose	red/yellow/pink/white/blue
ruby	red
salt	white
sea	blue/green/gray/grey
sky	blue/gray/grey
snow	white
soil	black/brown/dark
sugar	white/brown
sun	yellow/gold
swan	white/black/gray/grey
tea	black/green/white/red/brown/yellow
tomato	red
