atmosphere	gas/oxygen/hydrogen/nitrogen/ozone
bag	leather/fabric/plastic
beard	hair
body	flesh/bones
boots	leather/canvas
bottle	glass/plastic
bowl	glass/china/aluminium/wood/steel/plastic/clay
cocktail	alcohol/juice/water
desk	wood/metal/steel
diamond	carbon
flag	fabric/paper
house	bricks/cement/wood/clay
jam	fruit/sugar/berries
lawn	grass
lens	glass/plastic
mirror	glass/bronze
money	paper/metal/silver/gold/iron/copper/tin
ocean	water
pastry	flour/egg/butter/filling
penny	metal/alloy/bronze/nickel/zinc/copper/tin
pill	medicine/drug
plastic	polymer/oil/gas/coal
sea	water
spoon	aluminium/wood/steel
table	wood/metal/plastic
wig	hair
wine	grapes/grape
wire	metal
