after	before/earlier/previously
ahead	behind/rear/after/tail/beforehand
anterior	posterior
before	after/subsequently/later/afterwards/afterward/ahead
beginning	end/terminal/ending/last/final/finish/finale/conclusion
dead	alive/living/live
dive	emerge
fall	rise/upward/climb
first	last/end/terminal/ending/final/finish/finale/conclusion
input	output
inside	outside/exterior/out
internal	external/outer/outside
mortal	immortal
occupied	vacant/free
over	under/below/beneath
previously	subsequently/later/afterwards/afterward/after/subsequent
proceed	retreat/return
rise	sink/drop/fall
south	north
southeast	southwest/northeast
toward	away/off/forth/aside
true	false/incorrect/wrong/mistaken
west	east
