model,method,category,subcategory,accuracy,similarity
bert_embs,3CosAdd,1_Inflectional_morphology,I01 [noun - plural_reg].txt,0.9469387755102041,0.8174534091147884
bert_embs,3CosAdd,1_Inflectional_morphology,I02 [noun - plural_irreg].txt,0.8821353065539113,0.8157588407406199
bert_embs,3CosAdd,1_Inflectional_morphology,I03 [adj - comparative].txt,1.0,0.8348353952169418
bert_embs,3CosAdd,1_Inflectional_morphology,I04 [adj - superlative].txt,1.0,0.8167269229888916
bert_embs,3CosAdd,1_Inflectional_morphology,I05 [verb_inf - 3pSg].txt,0.9166666666666666,0.8776198047487987
bert_embs,3CosAdd,1_Inflectional_morphology,I06 [verb_inf - Ving].txt,0.5991836734693877,0.8591160955724664
bert_embs,3CosAdd,1_Inflectional_morphology,I07 [verb_inf - Ved].txt,0.6702040816326531,0.8363886939477397
bert_embs,3CosAdd,1_Inflectional_morphology,I08 [verb_Ving - 3pSg].txt,0.8825161887141536,0.8450836772001514
bert_embs,3CosAdd,1_Inflectional_morphology,I09 [verb_Ving - Ved].txt,0.5647163120567376,0.8069086055179219
bert_embs,3CosAdd,1_Inflectional_morphology,I10 [verb_3pSg - Ved].txt,0.7077294685990339,0.8348707315457966
bert_embs,3CosAdd,2_Derivational_morphology,D01 [noun+less_reg].txt,0.0,
bert_embs,3CosAdd,2_Derivational_morphology,D02 [un+adj_reg].txt,0.4724137931034483,0.8025955710097821
bert_embs,3CosAdd,2_Derivational_morphology,D03 [adj+ly_reg].txt,0.627906976744186,0.791154230935405
bert_embs,3CosAdd,2_Derivational_morphology,D05 [adj+ness_reg].txt,0.5,0.7692796417645046
bert_embs,3CosAdd,2_Derivational_morphology,D07 [verb+able_reg].txt,0.0,
bert_embs,3CosAdd,2_Derivational_morphology,D08 [verb+er_irreg].txt,0.010869565217391304,0.8034638464450836
bert_embs,3CosAdd,2_Derivational_morphology,D09 [verb+tion_irreg].txt,0.058333333333333334,0.7864903935364315
bert_embs,3CosAdd,2_Derivational_morphology,D10 [verb+ment_irreg].txt,0.04252873563218391,0.7867682028461147
bert_embs,3CosAdd,3_Encyclopedic_semantics,E01 [country - capital].txt,0.8333333333333334,0.7845135169369833
bert_embs,3CosAdd,3_Encyclopedic_semantics,E02 [country - language].txt,0.11264822134387352,0.7448128022645649
bert_embs,3CosAdd,3_Encyclopedic_semantics,E03 [UK_city - county].txt,0.2916666666666667,0.746663939385187
bert_embs,3CosAdd,3_Encyclopedic_semantics,E04 [name - nationality].txt,0.03508771929824561,0.7136249442895254
bert_embs,3CosAdd,3_Encyclopedic_semantics,E05 [name - occupation].txt,0.0457516339869281,0.7274640713419233
